normalized_name,display_name_variants,variant_count,occurrence_count,recipe_count,dominant_kind,nutrition_match_status,nutrition_reference_name,nutrition_matched_alias,nutrition_source,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,primary_ingredient_hits,quantity_examples,category_examples,recipe_examples,note_examples
sorbetto di ciliegie v ricetta,Sorbetto Di Ciliegie (v. Ricetta) (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Dessert,Coppe Delicate Ai Due Colori | Sorbetto Meringato Di Ciliegie,Preparazione: 60 minuti.
sorbetto di melone v ricetta,Sorbetto Di Melone (v. Ricetta) (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (1) | 350 G (1),Dessert,Coppe Gelate Al Melone | Torri Di Babele,Preparazione: 60 minuti. | Preparazione: 40 minuti.
sottaceti misti,Sottaceti Misti (2),1,2,2,ingredient,unmatched,,,,,,,,0,100 G (1),Antipasto | Salsa,Bocconcini Del Prete Ladro | Salsa Tartara Con Il Bimby,
sottaceti vari,Sottaceti Vari (2),1,2,2,ingredient,unmatched,,,,,,,,0,60 G (1),Antipasto | Contorno,Insalata Primavera (3) | Insalata Russa Con Il Bimby,
sottilette,Sottilette (2),1,2,2,ingredient,unmatched,,,,,,,,1,4 Fette (1) | 20 (1),Antipasto,Crostini Alla Romana | Lasagne Di Nonna Annita,Luogo: Lazio. Luogo: Roma.
sottilette di formaggio piccadolce,Sottilette Di Formaggio Piccadolce (2),1,2,2,ingredient,unmatched,,,,,,,,0,4 (1) | 8 (1),Antipasto,Spiedini Piccadolce | Spuntino All'italiana,Luogo: Lazio.
spalla cotta,Spalla Cotta (2),1,2,2,ingredient,unmatched,,,,,,,,1,250 G (1) | 200 G (1),Antipasto | Pollame,Crocchette Saporite (4) | Fesa Di Tacchino In Teglia,
spalla d agnello disossata,Spalla D'agnello Disossata (2),1,2,2,ingredient,unmatched,,,,,,,,0,1000 G (1) | 1 (1),Carne,Arrotolato Di Agnello | Spalla D'agnello Farcita,Luogo: Campania.
spalla d agnello disossata di 1000 g,Spalla D'agnello Disossata Di 1000 G (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Carne,Spalla D'agnello Alla Fornaia | Spezzatino Alle Carote,
spalla di manzo,Spalla Di Manzo (2),1,2,2,ingredient,unmatched,,,,,,,,0,3000 G (1) | 800 G (1),Carne,Brasato Agrodolce | Manzo In Insalata (2),
spalla di vitello disossata,Spalla Di Vitello Disossata (2),1,2,2,ingredient,unmatched,,,,,,,,0,200 G (1) | 300 G (1),Salsa,Fondo Bianco Comune | Fondo Bruno Di Vitello,Preparazione: più di 2 ore.
speck a dadini,Speck A Dadini (2),1,2,2,ingredient,unmatched,,,,,,,,0,100 G (2),Primo,"Fusilli Funghi, Zucchine E Speck | Zuppa Di Orzo E Speck",
speck a fettine sottili,Speck A Fettine Sottili (2),1,2,2,ingredient,unmatched,,,,,,,,0,100 G (1) | 130 G (1),Contorno | Primo,Insalata Di Carciofi E Speck | Spaghetti Alla Vodka,
speck affettato non troppo sottile,Speck Affettato Non Troppo Sottile (2),1,2,2,ingredient,unmatched,,,,,,,,0,100 G (2),Primo,Risotto Allo Speck E Finocchi | Risotto Allo Speck E Finocchio,
speck affumicato,Speck Affumicato (2),1,2,2,ingredient,unmatched,,,,,,,,0,50 G (1) | 100 G (1),Carne | Contorno,Brasato Di Manzo Alla Girardi | Cavolo Rosso Al Fumo,
speck fette da 150 g,Speck (fette Da 150 G) (2),1,2,2,ingredient,unmatched,,,,,,,,0,150 G (2),Primo,Insalata Di Riso Alla Birra (2) | Tagliolini Al Vino Dolce,
speck intero,Speck Intero (2),1,2,2,ingredient,unmatched,,,,,,,,0,50 G (2),Primo,Minestra D'orzo (3) | Mnestre D'orzu,Luogo: Sardegna.
speck tagliato a dadini,Speck Tagliato A Dadini (2),1,2,2,ingredient,unmatched,,,,,,,,0,30 G (1) | 50 G (1),Contorno | Salsa,Frittata Con Scamorza | Salsa Di Cipolle,Luogo: Austria. Preparazione: 30 minuti. Calorie: 204.
spezie miste chiodi di garofano noce moscata cannella,"Spezie Miste (chiodi Di Garofano, Noce Moscata, Cannella) (2)",1,2,2,ingredient,unmatched,,,,,,,,0,,Carne,Fesa Di Vitello Con Prugne E Sottaceti | Roastbeef Alle Prugne,
spezie miste in polvere,Spezie Miste In Polvere (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Pizzico (1),Pollame,Pollo Alla Ticinese | Pollo Alle Arachidi,
spezzatino d agnello,Spezzatino D'agnello (2),1,2,2,ingredient,unmatched,,,,,,,,0,600 G (1) | 800 G (1),Carne,Agnello Con Patate E Lampascioni | Agnello Con Salsa D'aglio,Preparazione: 5 minuti. Calorie: 360.
spezzatino di tacchino,Spezzatino Di Tacchino (2),1,2,2,ingredient,unmatched,,,,,,,,0,800 G (2),Pollame,Spezzatino Allo Zafferano | Tacchino Allo Zafferano,
spicchi d aglio tritati,Spicchi D'aglio Tritati (2),1,2,2,ingredient,unmatched,,,,,,,,0,2 (1) | 25 G (1),Pesce | Primo,Empanada Con Frutti Di Mare Stufati | Penne Ai Frutti Di Mare,
spicchio d aglio,Spicchio D'aglio (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/4 (1) | 1 (1),Contorno | Primo,Finocchi Con Olive Nere | Sagne Con La Serratizze,
spigola freschissima,Spigola Freschissima (2),1,2,2,ingredient,unmatched,,,,,,,,0,180 G (2),Antipasto,Antipasto Di Pesce Crudo | Sashimi (3),Luogo: Giappone.
spinaci al burro,Spinaci Al Burro (2),1,2,2,ingredient,unmatched,,,,,,,,0,400 G (2),Carne,Arrosto Ripieno Con Wurstel | Lombo Di Cervo Con Mostarda,
spinaci cotti,Spinaci Cotti (2),1,2,2,ingredient,unmatched,,,,,,,,0,500 G (1) | 100 G (1),Primo,Maccheroncini Di Braccio Di Ferro | Tagliolini Alle Erbe Con Asparagi E Piselli,
spinaci filanti findus,Spinaci Filanti Findus (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Confezione (2),Antipasto | Carne,Roast-beef Con Spinaci Filanti | Torta Rustica Agli Spinaci Filanti,
spinaci lessi tritati,Spinaci Lessi Tritati (2),1,2,2,ingredient,unmatched,,,,,,,,0,100 G (1) | 150 G (1),Primo,Risotto Verde | Tonnarelli Al Forno,
spinaci puliti,Spinaci Puliti (2),1,2,2,ingredient,unmatched,,,,,,,,0,250 G (1) | 500 G (1),Contorno | Primo,Gnocchetti Di Spinaci | Spinaci Al Gratin (2),
spinaci tritati,Spinaci Tritati (2),1,2,2,ingredient,unmatched,,,,,,,,0,450 G (1) | 200 G (1),Contorno | Primo,Gnocchetti Al Formaggio | Uova Affogate Alla Besciamella,
spirito di vino,Spirito Di Vino (2),1,2,2,ingredient,unmatched,,,,,,,,0,2 Cucchiai (1),Dessert,Biscotti Croccanti | Marmellata D'ambra,
spremuta d ananas,Spremuta D'ananas (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/2 (1) | 40 G (1),Bevande,Mary Pikford (2) | Mary Pikford (3),
spremuta di pompelmo rosa,Spremuta Di Pompelmo Rosa (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Bicchiere (1) | 3/4 Bicchiere (1),Bevande,Spremuta Di Pompelmo Rosa E Arancia | Spremuta Di Pompelmo Rosa E Mandarino,
spuma di salmone affumicato,Spuma Di Salmone Affumicato (2),1,2,2,ingredient,unmatched,,,,,,,,2,100 G (2),Primo,Riso Salmonato (2) | Risotto Salmonato,
spuntature di maiale,Spuntature Di Maiale (2),1,2,2,ingredient,unmatched,,,,,,,,1,400 G (1) | 500 G (1),Primo,Polenta Con Spuntature | Polenta Con Spuntature E Salsicce,Luogo: Ciociaria. Luogo: Lazio.
stigmi di zafferano,Stigmi Di Zafferano (2),1,2,2,ingredient,unmatched,,,,,,,,0,,Antipasto | Pesce,Aragosta Alle Due Salse | Capesante Allo Zafferano,
stinco di vitello,Stinco Di Vitello (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Carne,Stinco Al Forno | Stinco Di Vitello Al Vino,Luogo: Lazio.
stoccafisso gia bagnato,Stoccafisso Già Bagnato (2),1,2,2,ingredient,unmatched,,,,,,,,0,800 G (1) | 1500 G (1),Pesce,Buridda Di Stoccafisso | Zuppa Di Stoccafisso E Patate,Luogo: Liguria
storione da 1000 g,Storione Da 1000 G (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Pesce,Storione Al Forno All'emiliana | Storione Arrosto Alla Giuliana,Luogo: Emilia-Romagna. | Luogo: Friuli.
straccetti di manzo,Straccetti Di Manzo (2),1,2,2,ingredient,unmatched,,,,,,,,0,200 G (2),Carne | Contorno,"Mattonella Di Straccetti, Fagottino Di Camembert E Peperone | Straccetti Di Manzo Ai Pepi In Cestino Croccante E Pesto Di Rucola",
strutto per friggere,Strutto Per Friggere (2),1,2,2,ingredient,unmatched,,,,,,,,0,100 G (1),Antipasto | Dessert,Frittelle Di Castagne (2) | Panzerotti Alla Romana,Luogo: Lazio. Luogo: Roma.
stufato di manzo,Stufato Di Manzo (2),1,2,2,ingredient,unmatched,,,,,,,,1,150 G (1) | 500 G (1),Primo,Agnolotti Cavour | Agnolotti Di Alessandria,
succo d amarena,Succo D'amarena (2),1,2,2,ingredient,unmatched,,,,,,,,2,15 Cl (1) | 2/10 (1),Bevande,Cocktail Alle Amarene | Oblio,
succo d arancia fresco,Succo D'arancia Fresco (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/4 (1) | 2/10 (1),Bevande,Haig Special | Miami Beach,
succo d arancia spremuta,Succo D'arancia Spremuta (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/4 (1) | 2/10 (1),Bevande,American Beauty (3) | Cacatoes,
succo di avocado e papaia,Succo Di Avocado E Papaia (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/2 (2),Bevande,Succo Di Avocado E Papaia Con Succo Di Ciliegie | Succo Di Avocado E Papaia Con Succo Di Ciliegie (2),
succo di banane,Succo Di Banane (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/4 Bicchiere (1) | 1/4 (1),Bevande,"Succo Di Mela Con Succo Di Banane, D'albicocca E Di Ribes | Succo Di Papaia Con Succo Di Banane E Di Lamponi",
succo di cachi,Succo Di Cachi (2),1,2,2,ingredient,unmatched,,,,,,,,1,1 Bicchiere (1) | 1/4 (1),Bevande,Succo A Un Solo Gusto (9) | Succo Di Mango Con Succo Di Cachi E Di Datteri Freschi,
succo di carciofi,Succo Di Carciofi (2),1,2,2,ingredient,unmatched,,,,,,,,1,1/4 Bicchiere (2),Bevande,Succo Di Carota Con Succo Di Finocchio E Di Carciofi | Succo Di Finocchio E Lattuga Con Succo Di Carciofi E Di Pomodoro,
succo di citronella,Succo Di Citronella (2),1,2,2,ingredient,unmatched,,,,,,,,0,Alcune Gocce (1) | 1/2 Cucchiaino (1),Bevande,Succo Di Papaia Con Succo D'uva Chiara E Di Pesca Gialla | Succo Ricco Di Banana Alla Fragola,
succo di cocco,Succo Di Cocco (2),1,2,2,ingredient,unmatched,,,,,,,,1,1/2 Bicchiere (1) | 2 Cucchiai (1),Dessert | Pollame,Coppetta Al Cocco | Pollo Al Cocco,Luogo: Cina.
succo di insalata trevisana,Succo Di Insalata Trevisana (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/5 (2),Bevande,"Succo Di Frutti Di Bosco Con Succo D'insalata Trevisana, Carota E Mela | Succo Di Mela Con Succo Di Pomodoro, Papaia E Insalata Trevisana",
succo di kumquat,Succo Di Kumquat (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/4 Bicchiere (2),Bevande,"Spremuta Di Arancia, Cedro E Kumquat | Spremuta Di Arancia, Pompelmo E Kumquat",
succo di limone ben filtrato,Succo Di Limone Ben Filtrato (2),1,2,2,ingredient,unmatched,,,,,,,,0,3/10 (1) | 1/10 (1),Bevande,Boss | Kiss (3),
succo di limone o aceto di vino bianco,Succo Di Limone (o Aceto Di Vino Bianco) (2),1,2,2,ingredient,unmatched,,,,,,,,0,2 Cucchiai (2),Dessert | Salsa,Pasta Sfoglia Classica | Salsa Olandese (3),Preparazione: 180 minuti.
succo di limone o succo di lime,Succo Di Limone (o Succo Di Lime) (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Cucchiaio (2),Primo,Sopa De Remolacha | Zuppa Di Barbabietole Rosse,Luogo: Cuba.
succo di mango e papaia,Succo Di Mango E Papaia (2),1,2,2,ingredient,unmatched,,,,,,,,2,1/2 (2),Bevande,Succo Di Mandarino E Fico D'india Con Succo Di Mango E Papaia | Succo Di Mango E Papaia Con Succo Di Pompelmo E Amarene,
succo di menta fresca,Succo Di Menta Fresca (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Cucchiaio (1) | 1 Cucchiaino (1),Bevande,"Frullato Inglese | Succo Di Finocchio Con Succo Di Spinaci, Avocado E Sedano",Luogo: Regno Unito. Luogo: Inghilterra.
succo di pere e litchi,Succo Di Pere E Litchi (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/4 Bicchiere (2),Bevande,"Succo Di Kiwi Con Succo Di Finocchio, Pere E Litchi | Succo Di Kiwi Con Succo Di Finocchio, Pere E Litchi (2)",
succo di pompelmo bluebird,Succo Di Pompelmo Bluebird (2),1,2,2,ingredient,unmatched,,,,,,,,0,2/10 (2),Bevande,Oasi Azzurra | Tropical Paradise,
succo di pompelmo concentrato,Succo Di Pompelmo Concentrato (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/2 (2),Bevande,Durango Cocktail | Durango Cocktail (2),Luogo: Messico.
succo di pompelmo e kiwi,Succo Di Pompelmo E Kiwi (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/2 (2),Bevande,Succo D'avocado Con Succo Di Pompelmo E Kiwi | Succo D'avocado Con Succo Di Pompelmo E Kiwi (2),
succo di pompelmo rosa,Succo Di Pompelmo Rosa (2),1,2,2,ingredient,unmatched,,,,,,,,0,500 G (1) | 1/4 (1),Bevande | Dessert,Sorbetto Di Pompelmo Rosa Nel Cioccolato | Succo D'uva Scura Con Succo Di Pompelmo E Di Mora (2),Preparazione: 40 minuti.
succo di prezzemolo,Succo Di Prezzemolo (2),1,2,2,ingredient,unmatched,,,,,,,,1,1 Cucchiaio (1) | Alcune Gocce (1),Bevande,Curarsi Con Le Erbe - Ricetta 36.2 | Succo Al Pomodoro E Peperone,
succo di sedano di verona,Succo Di Sedano Di Verona (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/2 Bicchiere (1) | 1/4 Bicchiere (1),Bevande,Succo Di Barbabietola Con Succo Di Sedano Di Verona | Succo Di Carota Con Succo Di Zucca E Di Sedano Di Verona,
succo di tamarindo,Succo Di Tamarindo (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Cucchiaino (1) | Alcune Gocce (1),Bevande,Succo Di Avocado E Papaia Con Succo Di Ciliegie | Succo Di Mango Con Succo D'ananas E Di Carciofo,
succo e polpa di pesca,Succo E Polpa Di Pesca (2),1,2,2,ingredient,unmatched,,,,,,,,0,3/10 (1) | 1/2 (1),Bevande,Bon Voyage | My Baby,
succo exotic,Succo Exotic (2),1,2,2,ingredient,unmatched,,,,,,,,0,3/10 (1) | 5/10 (1),Bevande,Bon Voyage | Cadillac,
sugo,Sugo: (1) | Sugo (1),2,2,2,section-label,section-label,,,,,,,,0,500 G (1),Carne | Primo,Casoncella Alla Bergamasca | Noce Di Vitello Al Sugo,Luogo: Lombardia. Luogo: Bergamo.
sugo di arrosto,Sugo Di Arrosto (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Tazzina (1),Antipasto | Carne,Finanziera | Prosciutto Al Madera,
sugo di pomodoro e basilico,Sugo Di Pomodoro E Basilico (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Mestolo (1) | 50 Cl (1),Contorno | Pesce,Parmigiana Leggera Di Melanzane | Tinca Coi Piselli,
sugo di pomodoro passato al colino,Sugo Di Pomodoro Passato Al Colino (2),1,2,2,ingredient,unmatched,,,,,,,,0,,Primo,Capellini Al Pomodoro | Pastina Al Pomodoro,Ricetta adatta a: bambini piccoli.
sumac spezia medio orientale facoltativo,Sumac (spezia Medio-orientale - Facoltativo) (2),1,2,2,ingredient,unmatched,,,,,,,,0,,Primo,Insalata Di Prezzemolo E Bulghur | Tabulè (2),Luogo: Algeria. | Luogo: Libano.
suze,Suze (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Cucchiaio (1) | 1/4 (1),Bevande,Borussia | Cabot,
tacchina di 2000 g,Tacchina Di 2000 G (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Pollame,Paeta Rosta Al Melgaragno | Tacchina Alla Melagrana,
tacchinella,Tacchinella (2),1,2,2,ingredient,unmatched,,,,,,,,2,1 (2),Pollame,Tacchinella Al Riso | Tacchinella Alla Melagrana,
tacchinella di 3000 g,Tacchinella Di 3000 G (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Pollame,Tacchinella All'arancia | Tacchinella Arrosto,
tahin crema di sesamo,Tahin (crema Di Sesamo) (2),1,2,2,ingredient,unmatched,,,,,,,,0,,Antipasto | Primo,Gnocchi Alla Romana (3) | Pizza Vegetariana,Luogo: Lazio. Luogo: Roma. Ricetta adatta a: vegetariani. | Ricetta adatta a: vegetariani.
tahina salsa di sesamo,Tahina (salsa Di Sesamo) (2),1,2,2,ingredient,unmatched,,,,,,,,0,,Contorno,Baba-ghannug | Mutabbel,Luogo: Medio Oriente.
tartellette di pasta brisee a conchiglia,Tartellette Di Pasta Brisée A Conchiglia (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Confezione (2),Antipasto,Lenticchie In Conchiglia | Tartellette Tartufate,
tartellette gia pronte,Tartellette Già Pronte (2),1,2,2,ingredient,unmatched,,,,,,,,0,8 (1),Dessert,Tartellette Alla Melagrana | Tartellette Sprint,
tartine di pasta frolla,Tartine Di Pasta Frolla (2),1,2,2,ingredient,unmatched,,,,,,,,0,6 (1),Antipasto,Tartine Alla Giardiniera | Tartine Con Maionese E Uova Sode,
tartufi,Tartufi (2),1,2,2,ingredient,unmatched,,,,,,,,1,30 G (1),Contorno | Pollame,Galantina | Insalata Al Tartufi,
tartufi di mare,Tartufi Di Mare (2),1,2,2,ingredient,unmatched,,,,,,,,0,12 (2),Pesce,Conchiglie Di Pesce | Misto Di Conchiglie,
tartufo bianco facoltativo,Tartufo Bianco (facoltativo) (2),1,2,2,ingredient,unmatched,,,,,,,,0,Alcune Lamelle (1) | Alcune Scaglie (1),Carne | Primo,Costolette Alla Valdostana | Risotto Alla Milanese,Luogo: Val D'Aosta. | Luogo: Lombardia. Luogo: Milano.
tartufo facoltativo,Tartufo (facoltativo) (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (1),Pollame | Salsa,Aceto Di Champagne | Fagiano Arrosto Ripieno,
tartufo nero facoltativo,Tartufo Nero (facoltativo) (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Antipasto | Carne,Barchette Di Uova Sode Alla Maître D'hôtel | Filetto In Sfoglia Con Carote Glassate,
te assam,Tè Assam (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/2 G (1) | 1/20 (1),Bevande,Miscela Circolo Tè Fidonet | Miscela Otto Sapori,
tiglio,Tiglio (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Cucchiaino (2),Bevande,"Tisana Di Melissa, Lavanda, Biancospino, Camomilla Romana E Tiglio | Tisana Di Tiglio, Camomilla, Melissa E Lavanda",
timo e alloro in polvere,Timo E Alloro In Polvere (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Cucchiaino (1) | 1 Pizzico (1),Carne,Costata Al Forno | Lombatine Al Rosso Di Gattinara,
timo facoltativo,Timo (facoltativo) (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Pizzico (2),Carne,Fricassea Di Vitello | Lepre In Salmì,
timo fresco tritato,Timo Fresco Tritato (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Cucchiaio (1) | 1 Cucchiaino (1),Pesce,Filetti Di Halibut Con Funghi E Aromi | Gamberi Con Lattuga E Piselli,
tinche da porzione,Tinche Da Porzione (2),1,2,2,ingredient,unmatched,,,,,,,,0,4 (2),Pesce,Tinca In Carpione Alle Erbe | Tinca Ripiena,
tofu formaggio di soia,Tofu (formaggio Di Soia) (2),1,2,2,ingredient,unmatched,,,,,,,,0,200 G (1) | 100 G (1),Contorno,Insalata Rilassante | Sformato Di Asparagi E Tofu,
tomini,Tomini (2),1,2,2,ingredient,unmatched,,,,,,,,2,8 (2),Antipasto | Contorno,Tomini Conditi | Tomini Saporiti,
tonica water schweppes,Tonica Water Schweppes (2),1,2,2,ingredient,unmatched,,,,,,,,0,1/2 Bottiglietta (1),Bevande,Cigarette | Club 49,
tonno freschissimo,Tonno Freschissimo (2),1,2,2,ingredient,unmatched,,,,,,,,0,180 G (2),Antipasto,Antipasto Di Pesce Crudo | Sashimi (3),Luogo: Giappone.
tortillas tagliate a striscioline e fritte,Tortillas Tagliate A Striscioline E Fritte (2),1,2,2,ingredient,unmatched,,,,,,,,0,500 G (2),Primo,Sopa De Limon | Zuppa Di Limone,Luogo: Messico.
totani circa 600 g,Totani (circa 600 G) (2),1,2,2,ingredient,unmatched,,,,,,,,0,4 (2),Pesce,Totani Ripieni | Totani Ripieni (2),
trancio di pesce spada,Trancio Di Pesce Spada (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (1) | 200 G (1),Pesce | Primo,Spada Al Punto Rosa Con Polentina Di Farro | Trenette Al Pesce Spada,
triglia,Triglia (2),1,2,2,ingredient,unmatched,,,,,,,,0,1300 G (2),Pesce,Brodeto Triestino (4) | Brodeto Triestino (8),Luogo: Friuli. Luogo: Trieste.
triglie di scoglio,Triglie Di Scoglio (2),1,2,2,ingredient,unmatched,,,,,,,,1,800 G (1) | 12 (1),Pesce,Triglie Al Pomodoro (2) | Triglie Al Vermentino,
triple sec bols,Triple Sec Bols (2),1,2,2,ingredient,unmatched,,,,,,,,0,3/12 (1) | 2/10 (1),Bevande,Cool Banana | Peccato Di Eva,
trippa,Trippa (2),1,2,2,ingredient,unmatched,,,,,,,,0,3000 G (1) | 1000 G (1),Carne,Trippa Alla Caen | Trippa In Bianco Con Fagioli E Pecorino,Luogo: Francia. | Luogo: Lazio.
trippa di manzo,Trippa Di Manzo (2),1,2,2,ingredient,unmatched,,,,,,,,1,250 G (1) | 1000 G (1),Carne | Primo,Minestrone Di Trippa (2) | Trippa Di Manzo,Luogo: Cina. | Luogo: Trentino-Alto Adige. Luogo: Trentino. Luogo: Trento.
trippa di vitello cotta,Trippa Di Vitello Cotta (2),1,2,2,ingredient,unmatched,,,,,,,,0,500 G (2),Primo,Morzeddu | Zuppa Di Trippa,Luogo: Calabria.
trippa di vitello lessata,Trippa Di Vitello Lessata (2),1,2,2,ingredient,unmatched,,,,,,,,0,600 G (1) | 500 G (1),Antipasto | Carne,Trippa Alla Lombarda | Trippa In Insalata,Luogo: Lombardia. Preparazione: 15 minuti. Cottura: 120 minuti.
trito aromatico maggiorana basilico rosmarino timo prezzemolo,"Trito Aromatico (maggiorana, Basilico, Rosmarino, Timo, Prezzemolo) (2)",1,2,2,ingredient,unmatched,,,,,,,,0,3 Cucchiai (2),Primo,Mezze Penne Al Trito Aromatico | Penne Al Trito Aromatico,
trito di aglio e cipolla,Trito Di Aglio E Cipolla (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Contorno | Pesce,Broccoletti Al Vino (2) | Palombo Al Prezzemolo,
trito di prezzemolo timo maggiorana,"Trito Di Prezzemolo, Timo, Maggiorana (2)",1,2,2,ingredient,unmatched,,,,,,,,0,1 Cucchiaio (1) | 1/2 Cucchiaio (1),Primo,Risotto Alla Crema Di Scampi | Risotto Con Moscardini E Asparagi,
tuorli d uovo a temperatura ambiente,Tuorli D'uovo A Temperatura Ambiente (1) | Tuorli D'uovo (a Temperatura Ambiente) (1),2,2,2,ingredient,unmatched,,,,,,,,0,4 (1) | 2 (1),Primo | Salsa,Fonduta Di Formaggio | Maionese (2),
tuorlo d uovo sbattuto,Tuorlo D'uovo Sbattuto (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Dessert | Pesce,Fiocchetti Alle Mandorle | Pirozski Al Pesce,
uova a temperatura ambiente,Uova A Temperatura Ambiente (2),1,2,2,ingredient,unmatched,,,,,,,,0,4 (1) | 3 (1),Dessert,Ciambella Di Natale | Torta Di Mele Caramellate,
uova di lompo nere,Uova Di Lompo Nere (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 Vasetto (2),Primo,Penne Del Nord | Penne Rosse E Nere,
uova di riccio di mare,Uova Di Riccio Di Mare (2),1,2,2,ingredient,unmatched,,,,,,,,2,150 G (2),Primo,Llenguetes Al Bogamari' | Tagliolini Ai Ricci Di Mare,Luogo: Spagna. Luogo: Catalogna.
uova di trota,Uova Di Trota (2),1,2,2,ingredient,unmatched,,,,,,,,1,1 Vasetto (2),Pesce,Rotolo Di Trota Salmonata | Uova Di Trota Con Patate,
uova separate,Uova Separate (2),1,2,2,ingredient,unmatched,,,,,,,,0,4 (1) | 3 (1),Dessert,Marquesa De Chocolate | Torta Al Cocco,
uova sode a rondelle,Uova Sode A Rondelle (2),1,2,2,ingredient,unmatched,,,,,,,,0,2 (2),Contorno,Arroz A La Mexicana | Arroz Alla Messicana,Luogo: Messico.
uova sode tagliate a cubetti,Uova Sode Tagliate A Cubetti (2),1,2,2,ingredient,unmatched,,,,,,,,0,2 (2),Carne | Primo,Albòndigas En Chipotle | Gazpacho,Luogo: Messico. | Luogo: Spagna.
uovo battuto con sale e pepe,Uovo Battuto Con Sale E Pepe (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Carne,Klops | Polpettone Stufato Con Le Uova,Luogo: Polonia.
uovo fresco,Uovo Fresco (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Bevande | Dessert,Lemon Flip | Monacelle,Luogo: Calabria.
uovo grande,Uovo Grande (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Contorno | Dessert,Biscotti Al Burro Di Princeton | Funghi Fritti (4),
uovo sbattuto con poco latte,Uovo Sbattuto Con Poco Latte (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Antipasto | Dessert,Chiacchiere Di Carnevale Al Forno | Grissini Casalinghi (2),
uovo sodo grattugiato,Uovo Sodo Grattugiato (2),1,2,2,ingredient,unmatched,,,,,,,,0,1 (2),Antipasto,Bocconcini Del Prete Ladro | Bocconcini Fantasia,
uva bianca e uva nera,Uva Bianca E Uva Nera (2),1,2,2,ingredient,unmatched,,,,,,,,0,750 G (1) | 1 Grappolo (1),Dessert | Pollame,Calice Di Fiocchi Di Latte Con Uva Bianca E Nera Al Caramello | Fagiano Alla Frutta,
uva dolcetto,Uva Dolcetto (2),1,2,2,ingredient,unmatched,,,,,,,,2,5000 G (2),Salsa,Cognà (2) | Salsa D'uva,Luogo: Piemonte. Luogo: Alba. Cottura: 360 minuti.
uva malvasia,Uva Malvasia (2),1,2,2,ingredient,unmatched,,,,,,,,0,500 G (1) | 120 G (1),Pollame | Primo,Faraona All'uva | Risotto D'autunno,
uva nera tipo americana,Uva Nera Tipo Americana (2),1,2,2,ingredient,unmatched,,,,,,,,0,100 G (2),Dessert,Mousse Di Mosto D'uva | Sugul,
uva rosata,Uva Rosata (2),1,2,2,ingredient,unmatched,,,,,,,,0,6 Chicchi (1) | 200 G (1),Antipasto | Pollame,Cestini Rustici | Insalata Di Pollo Con Senape E Uva,Preparazione: 15 minuti.
